Date (LST),Time (LST),Offset (LST),South DeKalb,Confederate Ave,Gwinnett Tech,Yorkville,Newnan,McDonough
11/11/16,0:00,-05:00,58.9,37.3,26.5,15.2,26.1,25.4
11/11/16,1:00,-05:00,55.9,19,18.2,10.5,22,27.6
11/11/16,2:00,-05:00,59.6,18.3,13.5,5,21.5,23.2
11/11/16,3:00,-05:00,50.2,17.4,12.8,2.2,20.4,15
11/11/16,4:00,-05:00,38.5,18.2,7.6,17.3,23.3,14.4
11/11/16,5:00,-05:00,38.2,20.7,6.7,16.4,13.2,14.3
11/11/16,6:00,-05:00,41.6,20.8,10.7,13,13.9,14.9
11/11/16,7:00,-05:00,45.5,20.1,19.3,0,14.8,15.4
11/11/16,8:00,-05:00,40.3,18,22,21.1,21,14.4
11/11/16,9:00,-05:00,42.3,19.4,23.7,28,22.5,14.7
11/11/16,10:00,-05:00,50.2,18.6,59.9,15.5,18.2,15.4
11/11/16,11:00,-05:00,48.1,17.8,50.4,15.1,11.8,17.7
11/11/16,12:00,-05:00,30.1,8.2,84.4,24.3,7.7,29.5
11/11/16,13:00,-05:00,27.2,2.6,15.9,14.4,4.5,3.8
11/11/16,14:00,-05:00,25.7,5.2,1.1,11,4,0.9
11/11/16,15:00,-05:00,23.2,7.7,2.5,9,5.6,6.5
11/11/16,16:00,-05:00,24.3,12.3,8.8,9.9,16.2,3.5
11/11/16,17:00,-05:00,28.5,14.6,11.7,12.6,31.4,8.4
11/11/16,18:00,-05:00,24.1,11.4,14.4,11.6,18.4,11.4
11/11/16,19:00,-05:00,24.2,14.1,19.4,19.4,13.4,14.8
11/11/16,20:00,-05:00,31.8,17.8,36.3,10.3,10.6,17.5
11/11/16,21:00,-05:00,15,20.5,48.4,9.6,8.7,16.5
11/11/16,22:00,-05:00,18,16.6,50.1,14.6,7.7,19.7
11/11/16,23:00,-05:00,31.9,20.3,44.1,18.1,8.6,22.2
11/12/16,0:00,-05:00,32.1,26.4,38,19.6,9.3,25.4
11/12/16,1:00,-05:00,31.6,26.9,39.5,32.9,17.6,20.4
11/12/16,2:00,-05:00,34.3,25.6,37.2,74.2,28.1,24.8
11/12/16,3:00,-05:00,35,19.3,20.3,70.2,36,27.2
11/12/16,4:00,-05:00,31.9,17.1,11.4,90.1,34.9,16.4
